symbol,quantity,rate,amount,rn,buyer,from_date,to_date,side
BNL,60.0,15059.17,903550.0,1,22,2026-03-09,2026-03-14,BUY
BNL,20.0,15501.5,310030.0,2,6,2026-03-09,2026-03-14,BUY
BNL,10.0,15700.0,157000.0,3,45,2026-03-09,2026-03-14,BUY
BNL,10.0,15660.0,156600.0,4,38,2026-03-09,2026-03-14,BUY
BNL,10.0,15657.0,156570.0,5,34,2026-03-09,2026-03-14,BUY
BNL,10.0,15657.0,156570.0,5,21,2026-03-09,2026-03-14,BUY
BNL,10.0,15054.0,150540.0,6,33,2026-03-09,2026-03-14,BUY
BNL,10.0,15001.0,150010.0,7,58,2026-03-09,2026-03-14,BUY
BNL,10.0,15000.0,150000.0,8,14,2026-03-09,2026-03-14,BUY
DOLTI,5703.0,525.33,2995978.2,1,42,2026-03-09,2026-03-14,BUY
DOLTI,5300.0,533.4,2827000.0,2,33,2026-03-09,2026-03-14,BUY
DOLTI,3074.0,525.8,1616311.4,3,58,2026-03-09,2026-03-14,BUY
DOLTI,2170.0,524.6,1138380.0,4,49,2026-03-09,2026-03-14,BUY
DOLTI,2100.0,524.76,1101986.0,5,8,2026-03-09,2026-03-14,BUY
DOLTI,2004.0,526.14,1054390.0,6,17,2026-03-09,2026-03-14,BUY
DOLTI,1604.0,536.72,860905.1,7,45,2026-03-09,2026-03-14,BUY
DOLTI,1601.0,535.34,857074.4,8,34,2026-03-09,2026-03-14,BUY
DOLTI,1534.0,527.81,809662.0,9,38,2026-03-09,2026-03-14,BUY
DOLTI,1130.0,521.5,589300.0,10,43,2026-03-09,2026-03-14,BUY
DOLTI,1000.0,530.0,530000.0,11,65,2026-03-09,2026-03-14,BUY
DOLTI,905.0,528.56,478347.4,12,46,2026-03-09,2026-03-14,BUY
DOLTI,837.0,535.61,448301.4,13,53,2026-03-09,2026-03-14,BUY
DOLTI,800.0,526.0,420800.0,14,28,2026-03-09,2026-03-14,BUY
DOLTI,790.0,532.59,420750.0,15,57,2026-03-09,2026-03-14,BUY
DOLTI,800.0,524.9,419920.0,16,36,2026-03-09,2026-03-14,BUY
DOLTI,586.0,523.33,306672.0,17,32,2026-03-09,2026-03-14,BUY
DOLTI,540.0,522.48,282140.0,18,50,2026-03-09,2026-03-14,BUY
DOLTI,500.0,530.0,265000.0,19,16,2026-03-09,2026-03-14,BUY
DOLTI,500.0,520.0,260000.0,20,59,2026-03-09,2026-03-14,BUY
DOLTI,478.0,536.14,256277.0,21,56,2026-03-09,2026-03-14,BUY
DOLTI,400.0,532.5,213000.0,22,1,2026-03-09,2026-03-14,BUY
DOLTI,392.0,526.41,206352.0,23,51,2026-03-09,2026-03-14,BUY
DOLTI,310.0,525.16,162800.0,24,40,2026-03-09,2026-03-14,BUY
DOLTI,234.0,522.41,122244.4,25,44,2026-03-09,2026-03-14,BUY
DOLTI,225.0,522.8,117629.0,26,35,2026-03-09,2026-03-14,BUY
DOLTI,220.0,525.5,115610.0,27,21,2026-03-09,2026-03-14,BUY
DOLTI,200.0,527.1,105420.0,28,29,2026-03-09,2026-03-14,BUY
DOLTI,200.0,526.0,105200.0,29,25,2026-03-09,2026-03-14,BUY
DOLTI,170.0,544.71,92600.0,30,14,2026-03-09,2026-03-14,BUY
DOLTI,170.0,530.88,90250.0,31,41,2026-03-09,2026-03-14,BUY
DOLTI,150.0,536.33,80450.0,32,39,2026-03-09,2026-03-14,BUY
DOLTI,100.0,521.0,52100.0,33,60,2026-03-09,2026-03-14,BUY
DOLTI,80.0,522.44,41795.0,34,4,2026-03-09,2026-03-14,BUY
DOLTI,80.0,521.1,41688.0,35,94,2026-03-09,2026-03-14,BUY
DOLTI,60.0,530.6,31836.0,36,47,2026-03-09,2026-03-14,BUY
DOLTI,40.0,526.1,21044.0,37,67,2026-03-09,2026-03-14,BUY
DOLTI,27.0,533.99,14417.7,38,48,2026-03-09,2026-03-14,BUY
DOLTI,26.0,527.0,13702.0,39,7,2026-03-09,2026-03-14,BUY
DOLTI,20.0,520.75,10415.0,40,13,2026-03-09,2026-03-14,BUY
DOLTI,10.0,540.6,5406.0,41,22,2026-03-09,2026-03-14,BUY
NIBSF2,174528.0,9.55,1667252.1,1,52,2026-03-09,2026-03-14,BUY
NIBSF2,13131.0,9.29,121974.85,2,14,2026-03-09,2026-03-14,BUY
NIBSF2,12600.0,9.14,115132.0,3,10,2026-03-09,2026-03-14,BUY
NIBSF2,9200.0,9.27,85311.0,4,35,2026-03-09,2026-03-14,BUY
NIBSF2,4900.0,9.23,45216.0,5,58,2026-03-09,2026-03-14,BUY
NIBSF2,3200.0,9.12,29190.0,6,6,2026-03-09,2026-03-14,BUY
NIBSF2,2600.0,9.24,24024.0,7,51,2026-03-09,2026-03-14,BUY
NIBSF2,1000.0,9.2,9200.0,8,33,2026-03-09,2026-03-14,BUY
NIBSF2,1000.0,9.11,9110.0,9,21,2026-03-09,2026-03-14,BUY
NIBSF2,800.0,9.2,7360.0,10,28,2026-03-09,2026-03-14,BUY
NIBSF2,530.0,9.26,4910.0,11,54,2026-03-09,2026-03-14,BUY
NIBSF2,500.0,9.13,4566.0,12,13,2026-03-09,2026-03-14,BUY
NIBSF2,500.0,9.11,4555.0,13,59,2026-03-09,2026-03-14,BUY
NIBSF2,100.0,9.82,982.0,14,48,2026-03-09,2026-03-14,BUY
NIBSF2,100.0,9.12,912.0,15,77,2026-03-09,2026-03-14,BUY
RBBD2088,135.0,1064.81,143750.0,1,58,2026-03-09,2026-03-14,BUY
RBBD2088,100.0,1055.35,105535.0,2,43,2026-03-09,2026-03-14,BUY
RBBD2088,50.0,1055.5,52775.0,3,13,2026-03-09,2026-03-14,BUY
RBBD2088,25.0,1055.0,26375.0,4,29,2026-03-09,2026-03-14,BUY
RBBD2088,25.0,1052.2,26305.0,5,8,2026-03-09,2026-03-14,BUY
RBBD2088,25.0,1035.3,25882.5,6,36,2026-03-09,2026-03-14,BUY
SMH,29190.0,653.33,19070654.0,1,34,2026-03-09,2026-03-14,BUY
