symbol,quantity,rate,amount,rn,seller,from_date,to_date,side
BNL,70.0,15000.14,1050010.0,1,55,2026-03-09,2026-03-14,SELL
BNL,20.0,15658.5,313170.0,2,34,2026-03-09,2026-03-14,SELL
BNL,20.0,15501.0,310020.0,3,58,2026-03-09,2026-03-14,SELL
BNL,10.0,15700.0,157000.0,4,22,2026-03-09,2026-03-14,SELL
BNL,10.0,15658.0,156580.0,5,4,2026-03-09,2026-03-14,SELL
BNL,10.0,15355.0,153550.0,6,74,2026-03-09,2026-03-14,SELL
BNL,10.0,15054.0,150540.0,7,49,2026-03-09,2026-03-14,SELL
DOLTI,10106.0,526.12,5317010.7,1,48,2026-03-09,2026-03-14,SELL
DOLTI,2569.0,526.71,1353128.5,2,58,2026-03-09,2026-03-14,SELL
DOLTI,2200.0,529.83,1165617.0,3,29,2026-03-09,2026-03-14,SELL
DOLTI,1333.0,531.78,708863.7,4,25,2026-03-09,2026-03-14,SELL
DOLTI,1300.0,531.2,690558.0,5,3,2026-03-09,2026-03-14,SELL
DOLTI,1204.0,548.43,660308.0,6,43,2026-03-09,2026-03-14,SELL
DOLTI,1190.0,519.93,618711.3,7,8,2026-03-09,2026-03-14,SELL
DOLTI,1080.0,527.8,570026.9,8,41,2026-03-09,2026-03-14,SELL
DOLTI,1020.0,528.49,539060.0,9,36,2026-03-09,2026-03-14,SELL
DOLTI,1000.0,530.62,530617.3,10,95,2026-03-09,2026-03-14,SELL
DOLTI,979.0,530.98,519829.6,11,38,2026-03-09,2026-03-14,SELL
DOLTI,924.0,523.0,483252.0,12,77,2026-03-09,2026-03-14,SELL
DOLTI,765.0,532.44,407320.0,13,45,2026-03-09,2026-03-14,SELL
DOLTI,760.0,527.34,400782.0,14,57,2026-03-09,2026-03-14,SELL
DOLTI,738.0,527.56,389341.6,15,19,2026-03-09,2026-03-14,SELL
DOLTI,720.0,530.0,381600.0,16,44,2026-03-09,2026-03-14,SELL
DOLTI,690.0,529.15,365113.0,17,52,2026-03-09,2026-03-14,SELL
DOLTI,675.0,529.89,357675.0,18,63,2026-03-09,2026-03-14,SELL
DOLTI,666.0,522.23,347802.7,19,88,2026-03-09,2026-03-14,SELL
DOLTI,650.0,520.32,338210.0,20,60,2026-03-09,2026-03-14,SELL
DOLTI,640.0,523.1,334786.0,21,70,2026-03-09,2026-03-14,SELL
DOLTI,588.0,528.61,310820.0,22,26,2026-03-09,2026-03-14,SELL
DOLTI,579.0,527.25,305276.0,23,35,2026-03-09,2026-03-14,SELL
DOLTI,572.0,528.41,302253.0,24,39,2026-03-09,2026-03-14,SELL
DOLTI,500.0,540.6,270300.0,25,97,2026-03-09,2026-03-14,SELL
DOLTI,397.0,524.45,208206.0,26,42,2026-03-09,2026-03-14,SELL
DOLTI,375.0,521.5,195564.0,27,22,2026-03-09,2026-03-14,SELL
DOLTI,360.0,539.22,194118.0,28,17,2026-03-09,2026-03-14,SELL
DOLTI,310.0,536.82,166414.0,29,34,2026-03-09,2026-03-14,SELL
DOLTI,310.0,529.42,164120.0,30,32,2026-03-09,2026-03-14,SELL
DOLTI,310.0,522.32,161920.0,31,33,2026-03-09,2026-03-14,SELL
DOLTI,240.0,534.44,128266.0,32,55,2026-03-09,2026-03-14,SELL
DOLTI,228.0,527.62,120297.0,33,49,2026-03-09,2026-03-14,SELL
DOLTI,210.0,521.5,109516.0,34,53,2026-03-09,2026-03-14,SELL
DOLTI,181.0,528.33,95626.9,35,13,2026-03-09,2026-03-14,SELL
DOLTI,116.0,525.16,60918.0,36,6,2026-03-09,2026-03-14,SELL
DOLTI,108.0,540.6,58384.8,37,20,2026-03-09,2026-03-14,SELL
DOLTI,60.0,530.0,31800.0,38,51,2026-03-09,2026-03-14,SELL
DOLTI,60.0,529.25,31755.0,39,85,2026-03-09,2026-03-14,SELL
DOLTI,50.0,528.0,26400.0,40,62,2026-03-09,2026-03-14,SELL
DOLTI,50.0,526.8,26340.0,41,4,2026-03-09,2026-03-14,SELL
DOLTI,40.0,522.95,20918.0,42,21,2026-03-09,2026-03-14,SELL
DOLTI,35.0,536.57,18780.0,43,74,2026-03-09,2026-03-14,SELL
DOLTI,30.0,522.73,15682.0,44,47,2026-03-09,2026-03-14,SELL
DOLTI,22.0,530.0,11660.0,45,5,2026-03-09,2026-03-14,SELL
DOLTI,20.0,521.0,10420.0,46,94,2026-03-09,2026-03-14,SELL
DOLTI,10.0,531.4,5314.0,47,64,2026-03-09,2026-03-14,SELL
DOLTI,10.0,529.0,5290.0,48,92,2026-03-09,2026-03-14,SELL
DOLTI,10.0,528.0,5280.0,49,14,2026-03-09,2026-03-14,SELL
DOLTI,10.0,526.1,5261.0,50,59,2026-03-09,2026-03-14,SELL
DOLTI,10.0,526.1,5261.0,50,28,2026-03-09,2026-03-14,SELL
DOLTI,10.0,526.0,5260.0,51,91,2026-03-09,2026-03-14,SELL
DOLTI,10.0,526.0,5260.0,51,11,2026-03-09,2026-03-14,SELL
DOLTI,10.0,522.0,5220.0,52,56,2026-03-09,2026-03-14,SELL
DOLTI,10.0,522.0,5220.0,52,65,2026-03-09,2026-03-14,SELL
DOLTI,10.0,521.0,5210.0,53,66,2026-03-09,2026-03-14,SELL
DOLTI,10.0,521.0,5210.0,53,50,2026-03-09,2026-03-14,SELL
NIBSF2,47785.0,9.62,459607.7,1,51,2026-03-09,2026-03-14,SELL
NIBSF2,38000.0,9.61,365180.0,2,59,2026-03-09,2026-03-14,SELL
NIBSF2,37453.0,9.45,353921.85,3,56,2026-03-09,2026-03-14,SELL
NIBSF2,28801.0,9.41,271119.5,4,42,2026-03-09,2026-03-14,SELL
NIBSF2,15000.0,9.21,138147.0,5,6,2026-03-09,2026-03-14,SELL
NIBSF2,12781.0,9.43,120552.35,6,14,2026-03-09,2026-03-14,SELL
NIBSF2,10769.0,9.25,99660.05,7,58,2026-03-09,2026-03-14,SELL
NIBSF2,9300.0,9.56,88908.0,8,22,2026-03-09,2026-03-14,SELL
NIBSF2,5720.0,9.45,54046.0,9,34,2026-03-09,2026-03-14,SELL
NIBSF2,3500.0,9.61,33635.0,10,48,2026-03-09,2026-03-14,SELL
NIBSF2,3350.0,9.49,31777.5,11,13,2026-03-09,2026-03-14,SELL
