broker_id,broker_name
1,Kumari Securities Pvt. Limited
2,Arun Securities Pvt. Limited
3,Stock Broker Opal Securities Investment Pvt. Limited
4,Market Securities Exchange Company Pvt. Limited
5,Agrawal Securities Pvt. Limited
6,J.F. Securities Company Pvt. Limited
7,Ashutosh Brokerage & Securities Pvt. Limited
8,Pragyan Securities Pvt. Limited
9,Malla & Malla Stock Broking Company Pvt. Limited
10,Thrive Brokerage House Pvt. Limited
11,Nepal Stock House Pvt. Limited
12,Primo Securities Pvt. Limited
13,ABC Securities Pvt. Limited
14,Sagarmatha Securities Pvt. Limited
15,Nepal Investment & Securities Trading Pvt. Limited
16,Sipla Securities Pvt. Limited
17,Midas Stock Broking Company Pvt. Limited
18,Siprabi Securities Pvt. Limited
19,Sweta Securities Pvt. Limited
20,Asian Securities Pvt. Limited
21,Shree Krishna Securities Limited
22,Trishul Securities And Investment Limited
23,Premier Securites Company Limited
24,Dakshinkali Investment Securities Pvt.Limited
25,Vision Securities Pvt.Limited
26,Kohinoor Investment and Securities Pvt.Ltd
27,Secured Securities Limited
28,Swarnalaxmi Securities Pvt.Limited
29,Dipshika Dhitopatra Karobar Co. Pvt.Limited
30,Sumeru Securities Pvt.Limited
31,Creative Securities Pvt.Limited
32,Linch Stock Market Limited
33,Sani Securities Company Limited
34,South Asian Bulls Pvt.Limited
35,Dynamic Money Managers Securities Pvt.Ltd
36,Imperial Securities Co .Pvt.Limited
37,Kalika Securities Pvt.Limited
38,Neev Securities Pvt.Ltd
39,Trishakti Securities Public Limited
40,Online Securities Pvt.Ltd
41,Crystal Kanchenjunga Securities Pvt.Ltd
42,Oxford Securities Pvt.Ltd
43,Sundhara Securities Limited
44,Investment Management Nepal Pvt. Ltd.
45,Sewa Securities Pvt. Ltd.
46,Bhrikuti Stock Broking Co. Pvt. Ltd.
47,Sri Hari Securities Pvt.Ltd
48,Araya Tara Investment And Securities Pvt. Ltd.
49,Naasa Securities Co. Ltd.
50,Deevyaa Securities & Stock House Pvt. Ltd
52,Bhole Ganesh Securities Limited
54,Himalayan Brokerage Company  Limited
55,Sun Securities Private Limited
56,Sharepro Securities Private Limited
57,Miyo Securities Private Limited
58,Property Wizard Limited
53,Capital Max Securities Limited
51,Nagarik Stock Dealer Company Ltd.
59,Elite Stock House Limited
60,INDEX SECURITIES LIMITED
94,R.B.B. Securities Company Ltd
95,Trademow Securities Private Limited
96,Prabhu Stock Market Limited
97,Sunrise Securities Limited
98,APPLE SECURITIES PRIVATE LIMITED
66,Infinity Securities Limited
67,SHUBHAKAMANA SECURITIES PVT. LTD
68,Hatemalo Financial Services Private Limited
69,Money World Share Exchange PVT Ltd
70,KALASH STOCK MARKET PVT. LTD
71,Mega Stock Markets Limited
72,Machhapuchchhre Securities Limited
73,Nabil Securities Ltd
74,Indira securities pvt. ltd
75,Aakashbhairab Securities Ltd.
76,N.M.B. SECURITIES LIMITED
77,Sanima Securities Limited
78,MILKY WAY SHARE BROKER COMPANY LTD
79,Capital Hub P. Ltd
80,Stoxkarts Securities Limited
81,S.P.S.A. Securities Limited
82,Blue Chip Securities Ltd
83,JBNL Securities ltd
84,Sajilo Broker Limited
86,C.B.I.L. Securities Limited
87,Roadshow securities limited
88,K.B.L. Securities Limited
89,Himalayan Securities Limited
91,Beni Securities Pvt.Ltd.
92,Garima Securities Limited
93,pahiinvestment
90,Magnet Securities and Investment Company Private Limited
