symbol,stock_id,sector_id,promoter_shares,public_shares,share_registar,is_delisted,is_merged,listed_date,sister_holding,core_capital,close,paidup_capital,fetched_at,quarter,fiscal_year,eps,net_worth,roe,roa,retained_earning,reserve,total_assets,total_liabilities,deposit,loan,net_interest_income,net_fee_commission_income,operating_profit,net_profit,distributable_profit,npl,capital_fund_to_rwa,cost_of_fund,base_rate,interest_spread,cd_ratio,dps,eps_a,total_equity,file_name,loan_and_advance_bfi,gram_value,prev_quarter_profit,growth_rate,discount_rate,pe_ratio,peg_value,reserve_surplus,loansandlong_termliabilities,property_plantandequipment,work_in_progress,investments,total_currentassets,total_currentliabilities,income_from_sales_of_electricity,income_fromothersources,administrative_expenses,depreciation,financial_expenses,provision_foremployee_bonus,provision_for_tax,expired_date,mega_watt_capacity,mega_watt_per_cost,local,cash,goodwill_and_intangible_assets,property_and_equipment,investment_in_subsidiaries,investment_in_associates,loans,reinsurance_assets,current_tax_assets,insurance_receivables,other_assets,other_financial_assets,cash_and_cash_equivalent,share_premium,catastrophe_reserve,retained_earnings,other_equity,provisions,gross_insurance_contract_liabilities,deferred_tax_liabilities,other_liabilities,other_financial_liabilities,total_equity_and_liabilities,gross_earned_premiums,net_earned_premiums,commission_income,other_direct_income,interest_income_on_loan_to_policyholders,income_from_investments_and_loans,net_realized_gains_losses,other_income,total_income,gross_benefits_and_claims_paid,claims_ceded,gross_change_in_contract_liabilities,net_benefits_and_claims_paid,commission_expenses,service_fees,other_direct_expenses,employee_benefits_expenses,depreciation_and_amortization_expenses,impairment_losses,other_operating_expenses,finance_cost,total_expenses,net_profit_loss_before_share_of_net_profits_of_associates,profit_before_tax,income_tax_expenses,net_profit_loss,other_comprehensive_income,total_comprehensive_income,net_premium_to_gross_premium_percentage,net_profit_to_gross_premium_percentage,gross_premium_to_total_assets_percentage,agent_commission_to_gross_premium_percentage,price_earning_ratio,networth_per_share_rs,total_inforce_policy_count,first_year_premium,single_premium,renewal_premium,total_benefits_and_claims_paid_in_count,outstanding_benefits_and_claims_in_count,declared_profit_bonus_rate,interim_profit_bonus_rate,long_term_investments,short_term_investments,total_assets_per_share,allotment_date,mutual_fund_unlock_date,royalty,project_operatingexpenses,operating_expenses,reserve_and_surplus,loans_and_long_term_liabilities,current_liabilities,property_plant_and_equipment,capital_work_in_progress,intangible_assets,current_assets,income_from_room_sales_banquets_restaurants_and_others,income_from_other_sources,inventories,trade_and_other_recievables,cash_and_bank_balance,other_current_assets,other_equity_reserve_and_surplus,total_non_current_liabilities,borrowings,trade_payables,total_current_liabilities,total_equity_and_liabilites,revenue_from_sale_of_goods,less_cost_of_sales,gross_profit,selling_and_distribution_expenses,finance_expenses,foreign,government,other_operatingexpenses,operating_income,cash_and_bank_balances,deferred_tax_liability,depreciation_and_amortisation,employee_benefits,finance_costs,investment_in_corporate_bonds,investment_in_equity,investment_in_subsidiary,non_current_liabilities,operating_and_administrative_expenses,profit_before_bonus_and_tax,property_plant_and_equipments,reserves_and_surplus,revenue_from_contract_with_customers,deferred_tax_assets,insurance_payable,financial_liabilties_borrowings,employee_benefit_expenses,income_tax,income_taxes,non_current_assets,net_income,finance_income,par_value,other_non_current_assets,other_current_liabilities,current_tax_liabilities,share_capital,special_reserve,premium_ceded,gross_claims_paid,change_in_contract_liabilities_ceded_to_reinsurers,net_claims_incurred,networth_per_share,total_issue_policy,total_renewed_policy,total_claims_paid_count,outstanding_claims_count,accrued_income,current_tax_liability,dividend_income,impairments,inventory,loan_to_power_projects,prepayments_and_advances,retirement_benefit_obligations,staff_advances_and_loans,term_deposits_with_banks,share_of_net_profit_of_associates,cash_and_cash_equivalents,total_expenditure,net_profit_before_tax,total_comprehensive_income_for_the_year,investment_properties,total_non_current_assets,trade_receivables,total_current_assets,total_current_liabilities_and_provisions,income_from_services,administrative_costs,prepayment_and_advance_tax,personnel_costs,provision_for_income_tax,loans_advances_and_others,net_gain_loss_of_fair_value_changes,other_non_current_liabilities,post_employment_benefit,subscriber_deposit,operation_and_maintenance_costs,sales_channel_marketing_and_promotions,regulatory_fees_charges_and_renewals,amortization,impairment_loss,equity_loss_in_associate,foreign_exchange_loss_gain,share_application_money_pending_allotment,gross_written_premium,less_expenses
ACLBSL,90,9.0,60.0,40.0,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,False,False,2019-01-01,,367143409.0,894.8,367143409.0,2026-09-03 08:55:31,q4,082/083,27.79,180.9,15.36,1.71,89245529.0,207787552.0,5950772972.0,5286596482.0,2261787928.0,5509564183.0,474512622.0,64076050.0,146957980.0,102017981.0,89245529.0,6.01,9.26,5.96,12.85,9.04,188.13,24.31,27.79,664176490.0,microfinancereport/aclbsl_082_083_q4_aarambha_chautari.pdf,,336.32,88049893.0,15.86,166.05,32.2,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,21,1.0,51.0,49.0,NIBL Ace Capital Limited,False,False,2010-08-16,,19287936300.0,296.6,19738231090.0,2026-09-03 08:55:31,q4,082/083,16.11,231.71,7.89,0.67,1262186665.0,17905910009.0,420134125077.0,381227797313.0,347219869157.0,247145223957.0,9121508260.0,1716073746.0,3943590530.0,2630641835.0,1262186665.0,4.07,13.29,2.97,4.56,3.66,66.78,6.54,16.11,38906327764.0,bankreport/adbl_082_083_q4_adbl.pdf,1939065150.0,289.81,3732416195.0,-29.52,2.34,18.41,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLB,244,9.0,51.0,49.0,BOK Capital Market Limited,True,False,2022-07-18,,0.0,1180.0,24840000.0,2026-09-03 08:55:31,q3,079/080,1.34,123.13,1.07,0.11,,,295848020.0,12641940.0,157462430.0,266219770.0,12502270.0,4295640.0,393740.0,250560.0,,3.52,11.34,10.19,18.05,,59.15,,,,,,60.93,2186230.0,-88.54,1836.67,880.6,-9.95,6491480.0,,,,,,,,,,,,,,,,,,1540460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,270,5.0,,100.0,NMB capital Limited,False,False,2023-03-22,,340000000.0,363.8,340000000.0,2026-09-03 08:55:31,q4,082/083,-17.41,68.43,-25.44,-4.38,,,1351716056.0,,202474.0,,,,,-59183628.0,,,,,,,,-17.41,-17.41,232673256.0,,,,-28161037.0,110.16,,-20.9,-0.19,-107326744.0,846549703.0,,,4900000.0,75225720.0,272493097.0,81461844.0,,9612653.0,47300401.0,62443073.0,,,2026-02-25,6.200,211500000,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHPC,144,5.0,,100.0,Muktinath Capital Limited,False,False,2009-11-17,,3848003000.0,248.5,4040403150.0,2026-09-03 08:55:31,q4,082/083,3.41,109.71,3.11,2.92,,,4720989529.0,,578139139.0,,,,,137892444.0,,,,,,,,3.41,3.41,4432538955.0,,,91.75,448137547.0,-69.23,170.85,72.87,-1.05,392135805.0,244893346.0,2526121587.0,108285700.0,952554307.0,2086582242.0,43557228.0,287047957.0,45462163.0,4263452.0,96905308.0,21638376.0,2732898.0,15736883.0,2012-11-17,9.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIL,138,10.0,70.0,30.0,Kumari Capital Limited,True,False,2020-07-27,,0.0,451.0,0.0,2026-09-03 08:55:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKBSL,108,9.0,60.0,40.0,NIBL Ace Capital Limited,True,False,2019-08-25,,0.0,919.0,119000000.0,2026-09-03 08:55:31,q2,079/080,18.99,171.38,11.08,1.5,,,1503136920.0,30662440.0,492382120.0,1445280160.0,31294260.0,,7994370.0,11296210.0,,4.91,13.3,10.77,,,297.82,,,,,,270.6,24628430.0,-54.13,239.61,48.39,-0.89,84940940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKJCL,162,5.0,0.0,100.0,Nabil Investment  Banking LTD,False,False,2018-12-17,,2000000000.0,344.3,2000000000.0,2026-09-03 08:55:31,q4,082/083,3.18,94.0,3.39,2.49,,,2558235748.0,,,,,,,63595209.0,,,,,,,,3.18,3.18,1873731282.0,,,82.01,41037975.0,54.97,319.82,108.27,1.97,,565805987.0,1694502527.0,,,373408221.0,118698478.0,224292684.0,7711195.0,-10387507.0,-71025556.0,-61410592.0,,,2021-10-29,7.000,288900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKPL,152,5.0,0.0,100.0,Arun Kabeli Power Limited,False,False,2017-04-16,,3895942100.0,243.0,3895942100.0,2026-09-03 08:55:32,q4,082/083,2.05,101.77,2.01,1.09,,,7316444410.0,,48281553.0,,,,,79681696.0,,,,,,,,2.05,2.05,3964906518.0,,,68.51,-9645192.0,-926.13,254.67,118.54,-0.13,68964418.0,2763014134.0,21786842.0,,,400037797.0,572484360.0,613604193.0,80958495.0,13010277.0,223501697.0,234233256.0,1453982.0,,2020-04-17,25.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBSL,92,9.0,68.0,32.0,Prabhu Capital Limited,False,False,2019-03-10,,733046280.0,1098.9,802685677.0,2026-09-03 08:55:32,q4,082/083,32.63,174.67,24.85,2.83,216041168.0,383342634.0,12314836378.0,10912766899.0,3813717339.0,11591893220.0,884504477.0,139414107.0,371419399.0,261939317.0,216041168.0,8.57,10.56,6.15,10.44,8.56,114.0,26.91,32.63,1402069479.0,microfinancereport/albsl_082_083_q4_aasha_laghubitta.pdf,,358.1,102634516.0,155.22,206.87,33.68,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
