Symbol,CDS Total,CDS Free,NAASA,Close Price,Value as of CP,LTP,Value as of LTP,Day Profit,Action
BNHC,2,2,2,254.90,509.80,258.00,516.00,6.20,"S
B"
CHCL,3,3,3,372.00,"1,116.00",377.00,"1,131.00",15.00,"S
B"
HFIN,10,10,10,617.90,"6,179.00",618.00,"6,180.00",1.00,"S
B"
MEN,5,5,5,618.00,"3,090.00",621.79,"3,109.00",19.00,"S
B"
NGPL,2,2,2,390.90,781.80,394.00,788.00,6.20,"S
B"
NIBSF2,100,100,100,8.49,849.00,8.33,833.00,-16.00,"S
B"
NLIC,2,2,2,693.80,"1,387.60",695.00,"1,390.00",2.40,"S
B"
NMB,2,2,2,235.80,471.60,239.60,479.00,7.40,"S
B"
PCIL,80,0,0,623.20,0.00,628.00,0.00,0.00,"S
B"
RLEL,10,10,10,790.00,"7,900.00",790.00,"7,900.00",0.00,"S
B"
SOHL,10,10,10,659.00,"6,590.00",663.00,"6,630.00",40.00,"S
B"
SWBBL,7,7,7,667.00,"4,669.00",664.00,"4,648.00",-21.00,"S
B"
UAIL,9,9,9,375.00,"3,375.00",366.50,"3,299.00",-76.00,"S
B"
UHEWA,20,20,20,594.00,"11,880.00",595.00,"11,900.00",20.00,"S
B"
